id,image,city,name,description
11,http://tourism.rajasthan.gov.in/content/dam/rajasthan-tourism/english/city/explore/535.jpg,dholpur,shergarh fort,"located to the south of dholpur, the shergarh fort was built by raja maldeo of jodhpur. it was reconstructed in 1540 by sher shah suri and named after the sultan of delhi. this fort was initially built in defence against the rulers of mewar. this historic monument is considered to be the epitome of rich, delicately-styled architecture from the past. adorned with carved images, statues of hindu gods and jain motifs, the shergarh fort was once protected by water and is considered to be the charm of dholpur."
12,http://tourism.rajasthan.gov.in/content/dam/rajasthan-tourism/english/city/explore/536.jpg,dholpur,machkund,"machkund, an ancient and sacred place is situated about 4 km from the main town of dholpur. this place is named after the 24th ruler of suryavanshi dynasty, raja machkund, who is said to have held the royal office for nineteen generations before lord ram. according to the manuscripts, raja machkund was in deep slumber when the demon kaal yaman accidently woke him up and was burnt to ashes because of a divine blessing. these legends and fables have turned this area into a sacred place for pilgrims."
13,http://tourism.rajasthan.gov.in/content/dam/rajasthan-tourism/english/city/explore/537.jpg,dholpur,sher shikhar gurudwara,"the sher shikhar gurudwara was established near machkund in dholpur due to a significant visit by guru hargobind sahib, who was known to be the sixth of the sikh gurus. the sher shikhar gurudwara is one of the most important gurudwaras and holds a place of historical importance in sikhism. this spot attracts sikhs from across the county to come and seek blessings of their ancestors and teachers."
14,http://tourism.rajasthan.gov.in/content/dam/rajasthan-tourism/english/city/explore/538.jpg,dholpur,"mughal garden, jhor","situated five kilometres from dholpur, the village of jhor is significant for housing the oldest mughal garden, known as bagh-e-nilofar. though very little of the original garden has survived till date, the presence of the era of emperor babur who started the construction can still be felt here."
15,http://tourism.rajasthan.gov.in/content/dam/rajasthan-tourism/english/city/explore/539.jpg,dholpur,damoh,"damoh, a beautiful waterfall in sarmathura, is one of the major tourist attractions in the district. the streams in this waterfall are known to remain dry throughout the year, except from july to september when embellish their surroundings with greenery and a variety of fauna."
16,http://tourism.rajasthan.gov.in/content/dam/rajasthan-tourism/english/city/explore/534.jpg,dholpur,talab-e-shahi,"talab-e-shahi as the name suggests is a picturesque lake situated 27 km from dholpur, and 5 km from bari in rajasthan. both the lake and the palace were originally built as a shooting lodge for prince shah jahan in the year 1617 a.d. the beauty and the location of this beautiful lake invites a number of winter migratory fowl such as pintail, red crested pochard, common pochard, tufted duck and pigeon."
17,http://tourism.rajasthan.gov.in/content/dam/rajasthan-tourism/english/city/explore/541.JPG,dholpur,van vihar sanctuary,"one of the oldest wildlife reserves of the rulers of dholpur, van vihar sanctuary is spread over an area of about 25 sq. km over the vindhyan plateau. the sanctuary is characterised by a wide range of fascinating flora and fauna that grabs the tourists&rsquo; attention. endowed with animals like sambhar, chital, blue bull, wild boar, sloth bear, hyena and leopard, the van vihar sanctuary is very popular among nature lovers visiting dholpur."
18,http://tourism.rajasthan.gov.in/content/dam/rajasthan-tourism/english/city/explore/542.jpg,dholpur,a ride around the ramsagar sanctuary,"situated by the ramsagar lake, this wildlife sanctuary is an exotic sanctuary you don&rsquo;t want to miss. along with terrestrial mammals, the ramsagar sanctuary is also home to an assortment of aquatic species such as rare fish, crocodiles and water snakes. water birds like cormorants, white breasted water hens, moor hens, jacanas, sand pipers are not a rare site. also during the winter months, if you&rsquo;re lucky enough, you can spot migratory birds, ducks and geese who visit the lake in good numbers."
19,http://tourism.rajasthan.gov.in/content/dam/rajasthan-tourism/english/city/explore/543.jpg,dholpur,chambal gharial sanctuary,"home to the rare, endangered gharial (small crocodiles), the red-crowned roof turtle and the endangered ganges river dolphin, the chambal gharial sanctuary is a tri-state, protected forest area located in up, mp and rajasthan. a huge attraction for nature lovers and wildlife photographers, the chambal gharial sanctuary is a must-visit site in rajasthan."
20,http://tourism.rajasthan.gov.in/content/dam/rajasthan-tourism/english/city/explore/525.jpg,tonk,sunehri kothi,"the main attraction of tonk is the 19th century sunehri kothi or the golden mansion, situated near bada kuan on najar bagh road. the building seems to be rugged and ordinary from its exteriors but a glimpse of its royal golden coloured interiors does absolute justice to its name. sheesh mahal, or the glass hall of sunehri kothi, is adorned with the amazing glass and floral work along with exquisite samples of meenakari work that are sure to leave spellbound. sunehri kothi has been declared as an important historical monument by the government of rajasthan."
21,http://tourism.rajasthan.gov.in/content/dam/rajasthan-tourism/english/city/explore/526.jpg,tonk,the arabic and persian research institute,"the arabic and persian research institute rajasthan, tonk is located in the heart of the tonk city in the valley of two historical hills of rasiya and annapoorna. the institute has a beautiful art gallery, started in the year 2002, with an impressive display of magnificent arts and beautiful calligraphic designs that are open to the visitors. the institute houses some of the oldest collection of books and manuscripts in persian and arabic, which were studied by the nawabs back in the 12th century. some of the ancient books here are beautifully adorned in gold, emerald, pearls and rubies."
22,http://tourism.rajasthan.gov.in/content/dam/rajasthan-tourism/english/city/explore/527.jpg,tonk,haathi bhata,"situated around 20-30 kilometres from the tonk- sawai madhopur highway is the hathi bhata. carved out from a single stone, as the name suggests, it is a magnificent elephant, and quite a popular tourist attraction. constructed by ram nath slat during the reign of sawai ram singh, this monument bears an inscription that narrates the story of nala and damayanti."
23,http://tourism.rajasthan.gov.in/content/dam/rajasthan-tourism/english/city/explore/528.jpg,tonk,bisaldeo temple,"bisalpur, located around 60-80 kilometres from tonk, was founded by the chahamana ruler vigraharaja iv in 12th century a.d. bisalpur is considered very important due to the temple of gokarnesvara, also known as bisal deoji&rsquo;s temple. it was constructed by vigraharaja iv, who was an ardent devotee of gokarna. the inner sanctum of the temple enshrines a shiva linga. the temple has a hemispherical dome, supported on eight tall pillars sporting floral carvings."
24,http://tourism.rajasthan.gov.in/content/dam/rajasthan-tourism/english/city/explore/529.jpg,tonk,hadi rani baori,"this stepwell is believed to have been built in the 12th century. it is rectangular on plan with double-storeyed corridors on the western side. each of these corridors is flanked with an arched doorway. images of brahma, ganesa and mahishasuramardini are enshrined in niches on the lower storeys. some scenes of the bollywood movie paheli, starring superstars amitabh bachchan and shah rukh khan were shot here. this step well is about a 2 hour drive from tonk."
25,http://tourism.rajasthan.gov.in/content/dam/rajasthan-tourism/english/city/explore/530.jpg,tonk,diggi kalyanji temple,"at 5600 years, this temple is probably one of the oldest, functional hindu temples. shri kalyanji, an incarnation of lord vishnu is enshrined here. people flock here from all across the country to seek the deity&rsquo;s blessings and freedom from their miseries. this temple, located at a distance of around 60 odd kilometres from tonk is a testament to the craftsmanship of ancient times. the pinnacle of the temple is supported by 16 pillars and makes for a truly a magnificent sight."
26,http://tourism.rajasthan.gov.in/content/dam/rajasthan-tourism/english/city/explore/511.jpg,karauli,kaila devi temple,"situated on the outskirts of karauli, at a distance of about 25 km from the city is the temple of kaila devi. this beautiful shrine is right on the banks of kalisal river in the ranging hills of trikut. it is believed that the temple was built in 1100 ad and is also considered as one of the nine shakti peethas of the deity here. the kaila devi temple hosts an annual fair that lasts a fortnight and attracts millions of pilgrims every year."
27,http://tourism.rajasthan.gov.in/content/dam/rajasthan-tourism/english/city/explore/511.jpg,karauli,madan mohan ji temple,"madan mohan, another name for lord krishna is a very well celebrated temple in karauli. the erstwhile kings of the region considered it to be very lucky and is known to have blessed many warriors with victories in the battlefield. one can see intricately carved idols of lord krishna and his consort radha there. the ambience is ancient and the architecture reflects the medieval age using the karauli stone."
28,http://tourism.rajasthan.gov.in/content/dam/rajasthan-tourism/english/city/explore/511.jpg,karauli,mehandipurbalaji temple,"the mehandipurbalaji temple is world renowned temple dedicated to monkey god, lord hanuman. the temple is located in a small village of karauli called mehandipur and is highly reputed for ritualistic healing and exorcism of evil spirits and ghosts. these unnatural happenings at the temple is one of the most important reasons behind the immense amount of footfall that this shrine witnesses."
29,http://tourism.rajasthan.gov.in/content/dam/rajasthan-tourism/english/city/explore/511.jpg,karauli,shri mahavir ji temple,"shri mahavir ji temple, as the name suggests is a spectacular architectural structure dedicated to the jain tirthankars. it is one of the most visited and famous pilgrimage destinations for the jains. the sculpture, design and structure of this building is highly inspired by jain art. built in the nineteenth century, this jain temple hosts an annual fair from the thirteenth day of the bright half of the month of chaitra to the first day of the dark half of the month of vaishakh (mahaveer jayanti)"
30,http://tourism.rajasthan.gov.in/content/dam/rajasthan-tourism/english/city/explore/515.jpg,karauli,gomtidham,"gomtidham is famous for the ashram of santgomti das ji, facing sagartalab and timangarh fort amidst dense forest. this arena of peace and tranquillity is a much needed getaway from your daily grind."
31,http://tourism.rajasthan.gov.in/content/dam/rajasthan-tourism/english/city/explore/516.jpg,karauli,bhanwar vilas palace,"originally built as the royal residence by maharaja ganesh pal deobahadur in the year 1938, bhanwar vilas palace is now partially turned into a heritage hotel for guests to stay and be a part of a special royal experience. the structure flaunts a colonial style of architecture and the spacious interiors are furnished with antique furniture."
32,http://tourism.rajasthan.gov.in/content/dam/rajasthan-tourism/english/city/explore/517.jpg,karauli,kaila devi sanctuary,"covered in rich and dense forests, the kaila devi sanctuary begins right after the kaila devi temple and extends on both the sides of the road to eventually join the ranthambore national park. this green reserve is home to some great natural treasures like the chinkaras, nilgai, jackals and leaopards. along with the wide variety of wildlife, one can also spot rare birds like sandpipers and kingfishers."
33,http://tourism.rajasthan.gov.in/content/dam/rajasthan-tourism/english/city/explore/518.jpg,karauli,city palace,"built in the fourteenth century, the monumental city palace was originally built by arjun pal. the structure that one can see now is erected by raja gopal singh in the eighteenth century. this antique building is treasure house of colonial architecture, stone carvings, lattice work windows and magnificent royal style of framework and frescoes. one can notice a hoard of colours in this beautiful palace. shades of red, white and off-whites are the most common amongst all. however, what tops it all is the view from the terrace from where one can see the entire town laid out by the river bhadrawati."
34,http://tourism.rajasthan.gov.in/content/dam/rajasthan-tourism/english/city/explore/519.jpg,karauli,chhatri of raja gopal singh,"the chattri of raja gopal singh, outside the nadi gate leading out of the palace to the river is beautifully adorned with fresco paintings. the reformer and founder of the arya samaj, dayanandsaraswati is also known to have delivered a talk at the chhatri of raja gopal singh. many devotees from neighbouring states like madhya pradesh, across the chambal river visit the chhatri topay homage."
35,http://tourism.rajasthan.gov.in/content/dam/rajasthan-tourism/english/city/explore/520.jpg,karauli,timangarh fort,"the great timangarh fort, built in 1100 ad is named after the king timanpal and is situated at a distance of 40 km from karauli. this magnificent structure was destroyed in one of the many attacks and was rebuilt by king timanpal of banaya in 1058 ad. a unique feature of this structure is its priceless collection of ancient ashtadathu (eight metals). none the less, the architecture of this fort bares a unique sign of india&rsquo;s ancient yet royal history. many mythological gods and goddesses are also indebted on the stone pillars supporting the fort.the fort witnessed many upheavals in its glorious history until akbar gifted it back to his mansabdar."
36,http://tourism.rajasthan.gov.in/content/dam/rajasthan-tourism/english/city/explore/521.jpg,karauli,dev giri fort &amp; utgir,"utgir, built by the lodha warriors is situated on a triangular peak of aravallis while the devgiri fort is in the ravines of chmabal river between karanpur and khandar. it is believed that raja arjun deo acquired the utgir fort and it remained the capital of yaduvanshis until gopal das built the bahadurpurfort. this was used as emergency garrison fort by karauli dynasty, till the states merged to form rajasthan."
37,http://tourism.rajasthan.gov.in/content/dam/rajasthan-tourism/english/city/explore/522.jpg,karauli,mandrayal,"situated 40 kms from the main district, mandrayal is a significant town of karaulithat joinsrajasthan and madhya pradesh. raja arjun dev captured this fort from muslim kiledar miya makan in 1327 ad. however, maharaja harbaksh pal built another garrison fort here that was known as balakila."
38,http://tourism.rajasthan.gov.in/content/dam/rajasthan-tourism/english/city/explore/523.jpg,karauli,gadhmora,gadhmora is counted amongst one of the most ancient villages of rajasthan and is believed to have been in existence since lord krishna&rsquo;s era. this place got its name from its ruler - raja mordhwaj. gadhmora is also home to a famous kund where an annual fare is held during sankranti every year.
39,http://tourism.rajasthan.gov.in/content/dam/rajasthan-tourism/english/city/explore/524.jpg,karauli,gufa temple,"the gufa temple as the name suggests is a cave situated amidst the dense forests of rantahmbore. this temple is actually believed to be the original temple of kaila devi. even after being located in a prime region of the forest, devotees of the deity walk nearly eight to ten kilometres to just get darshan. however, the native and foreigners are usually requested to not venture out in the open in the forest area."
40,http://tourism.rajasthan.gov.in/content/dam/rajasthan-tourism/english/city/explore/504.jpg,hanumangarh,bhatner fort,"considered to be one of the oldest forts in india, the bhatner fort or hanumangarh fort is located on the banks of the river ghaggar. the importance of the fort can be gauged from the fact that empror akbar mentioned it in ain-e-akbari. the fort was built around 1700 years ago by bhupat, the son of jaisalmer&rsquo;s king bhatti and has withstood the ravages of time and war extremely well. many a fearsome ruler including timur and prithviraj chauhan tried to capture the fort, but such was its strength that for centuries no one succeeded at getting their hands on it. finally, in the year 1805, raja surat singh of bikaner vanquished the bhattis and captured the fort. the fort is heavily fortified and has many stunning gates, it also houses temples dedicated to lord shiva and lord hanuman."
41,http://tourism.rajasthan.gov.in/content/dam/rajasthan-tourism/english/city/explore/506.jpg,hanumangarh,temple of shri gogaji,"at around 120 km from the city of hanumangarh, lies the temple of shri gogaji. legend has it that gogaji was a warrior who possessed spiritual powers and he is also referred to as the &lsquo;god of snakes&rsquo;. the temple was built in his honour almost 900 years ago by bikaner&rsquo;s maharaja shri ganga singh and stands on an elevated mount. what&rsquo;s particularly interesting about the temple is its mix of muslim and hindu styles of architecture. the temple is marked with stunning engravings and houses a beautiful statue of gogaji on horseback, with a lance in his hand and a snake around his neck. people of all faiths visit the temple especially during the gogamedi festival."
42,http://tourism.rajasthan.gov.in/content/dam/rajasthan-tourism/english/city/explore/507.jpg,hanumangarh,gogamedi panorama,"gogamedi, a village located in hanumangarh bears religious importance. the gogamedi fair, held during the gogamedi festival in memory of shri gogaji attracts locals and tourists alike. the panoramic view of gogamedi is truly stunning and awe-inspiring, and makes for a great spot for photography."
43,http://tourism.rajasthan.gov.in/content/dam/rajasthan-tourism/english/city/explore/508.jpg,hanumangarh,kalibangan,"a spot that&rsquo;s a must-visit for archaeology buffs, kalibangan is famous for the site where relics from the indus valley civilization were unearthed. the relics belong to the harappan and pre-harappan settlements from the year 2500 bc. excavations at kalibangan have revealed harappan seals, human skeletons, unknown scripts, stamps, copper bangles, beads, coins, toys, terracotta and shells. another place to visit here is the archaeological museum, which was set up in 1983 to house findings from an excavation conducted on the harappan site during 1961-1969. the museum here houses three galleries &ndash; the pre-harappan one, and two devoted to harappan artefacts"
44,http://tourism.rajasthan.gov.in/content/dam/rajasthan-tourism/english/city/explore/509.jpg,hanumangarh,temple of mata bhadrakali,"located at a distance of 7 kms from hanumangarh, the temple of mata bhadrakali is on the banks of the ghaggar river. the deity the temple is dedicated to one of the many avatars of goddess durga. constructed by the sixth king of bikaner maharaja ram singh, the temple houses an idol made entirely out of red stone. the temple is open to the public throughout the week."
45,http://tourism.rajasthan.gov.in/content/dam/rajasthan-tourism/english/city/explore/510.jpg,hanumangarh,bhatner ashva mela,"held every february, the bhatner ashva mela is a horse fair that has been a calendar event since 2002. various competitions where the magnificent creatures are allowed to display their beauty and might form the main attraction of the fair. people from across different states travel to their fair to purchase horses"
46,http://tourism.rajasthan.gov.in/content/dam/rajasthan-tourism/english/city/explore/505.jpg,hanumangarh,bird watching at badopal,"badopal lake is a fresh water lake located in the pilibanga tehsil of the hanumangarh district. a lot of tourists flock here for two reasons &ndash; a spectacular sunrise and sunset, and because it&rsquo;s a bird watcher&rsquo;s paradise. you can spot flamingos, northern shovelers, black winged stilts, plovers, pied avocet and coots, among a variety of birds."
47,http://tourism.rajasthan.gov.in/content/dam/rajasthan-tourism/english/city/explore/480.jpg,bhilwara,badnore fort,"towering over a small hill, this seven-storied fort in bhilwara is an excellent example of medieval indian architecture. located 70 kilometres from bhilwara on the bhilwara asind road, it offers breath-taking views. one can also visit the many small monuments and temples within the walls of badnore fort."
48,http://tourism.rajasthan.gov.in/content/dam/rajasthan-tourism/english/city/explore/481.jpg,bhilwara,pur udan chatri,"pur udan chatri is about 10 kilometres from bhilwara city. it is renowned for udan chatri and adhar sheela mahadev, where the geographical wonder of a huge rock resting on a small one attracts tourists."
49,http://tourism.rajasthan.gov.in/content/dam/rajasthan-tourism/english/city/explore/482.jpg,bhilwara,kyara ke balaji,"the kyara ke balaji has an image of lord hanuman which the locals believe appeared naturally on the rock. when visiting kyara ke balaji, you can also visit other locations such as patola mahadev temple, ghata rani temple, beeda ke mataji temple and neelkanth mahadev temple."
50,http://tourism.rajasthan.gov.in/content/dam/rajasthan-tourism/english/city/explore/483.jpg,bhilwara,the madhav gou vigyan anusandhan kendra,"cows are the livelihood for most of the locals in bhilwara. thus, the madhav cow science research centre in the village gaadarmala is very popular as it offers them knowledge and the know-how on how to better care for their animals."
51,http://tourism.rajasthan.gov.in/content/dam/rajasthan-tourism/english/city/explore/485.jpg,bhilwara,mandal,"located around 16 kilometres from bhilwara city, is mandal, where you can find the find the cenotaph of jagganath kachhawaha, better known as battis khambon ki chhatri. as the name implies, this is a handsome chhatri (cenotaph) comprising 32-pillars made with sandstone. some of them have beautiful carving at the base and on the upper portion. the chhatri also encloses a huge shivaling."
52,http://tourism.rajasthan.gov.in/content/dam/rajasthan-tourism/english/city/explore/485.jpg,bhilwara,harni mahadev,"founded by the ancestors of the darak family and named after the nearby village, the harni mahadev is a shiva temple, located around 8 kilometers from the city. surrounded by picturesque hills, this is a beautiful destination for tourists."
53,http://tourism.rajasthan.gov.in/content/dam/rajasthan-tourism/english/city/explore/486.jpg,bhilwara,gayatri shakti peeth,"the shakti peetha is a place of worship consecrated to the goddess shakti or sati, the female principal of hinduism and the main deity of the shakta sect. in bhilwara, the gayatri shakti peeth is located near the main city bus stand."
54,http://tourism.rajasthan.gov.in/content/dam/rajasthan-tourism/english/city/explore/487.jpg,bhilwara,dhanop mataji,"3 kilometres away from sangariya is dhanop, a little village where you can visit the sheetla mata temple. this colourful temple has bright red walls and pillars, a chequered marble floor and an idol of the goddess sheetla (an incarnation of goddess durga) in black stone."
55,http://tourism.rajasthan.gov.in/content/dam/rajasthan-tourism/english/city/explore/488.jpg,bhilwara,shri beed ke balaji,"across india, balaji is a name fondly bestowed upon the monkey god, hanuman. the shri beed ke balaji is temple is situated 3 kilometres away from kanechhan village in shahpura tehsil. isolated and surrounded by nature, it is a wonderful spot to visit if you wish to experience tranquillity and peace"
56,http://tourism.rajasthan.gov.in/content/dam/rajasthan-tourism/english/city/explore/489.jpg,bhilwara,shri charbhujanath temple,"many visitors in bhilwara head to rajsamand, where the revered charbhuja mandir is located. the temple, located at a convenient distance from bhilwara, is consecrated to lord vishnu. it is situated in the kotri tehsil."
57,http://tourism.rajasthan.gov.in/content/dam/rajasthan-tourism/english/city/explore/490.jpg,bhilwara,bagore sahib,"bagore sahib is a historical gurudwara where shri guru govind singh ji stayed on his journey to punjab. this gurudwara is situated about 20 kilometres from the town of mandal in the village bagore of tehsil mandal. it has been blessed by the visit of the tenth sikh guru, shri guru gobind singh ji."
58,http://tourism.rajasthan.gov.in/content/dam/rajasthan-tourism/english/city/explore/491.jpg,bhilwara,chamunda mata mandir,"the chamunda mata mandir is situated on the hills of harni mahadev. once on top, one can get a spectacular view of the whole city. the location, just 5 kilometres from bhilwara, is a place to visit if you seek the peace."
59,http://tourism.rajasthan.gov.in/content/dam/rajasthan-tourism/english/city/explore/492.jpg,bhilwara,menal waterfall,"80 kilometrs from bhilwara, on the bhilwara-kota road is a beautiful waterfall where the water falls to a depth of 150 metres into a v-shaped valley with great force, making for a beautiful sight. people from all corners of the state flock to take it in. the best time to visit the menal waterfall is from july to october."
60,http://tourism.rajasthan.gov.in/content/dam/rajasthan-tourism/english/city/explore/493.jpg,bhilwara,jataun ka mandir temple,"dating back to the middle of the 11th century, the jataun ka mandir is a shiva temple that is said to have been built by a bhil tribal who was considered to be among the first settlers here."
61,http://tourism.rajasthan.gov.in/content/dam/rajasthan-tourism/english/city/explore/494.jpg,bhilwara,ganesha temple,"the ganesha temple is a highly revered shrine dedicated to the elephant god, ganesha. vinayak chaturthi is celebrated with great fanfare and draws people across rajasthan. the festive ganesh mela is also held at that time."
62,http://tourism.rajasthan.gov.in/content/dam/rajasthan-tourism/english/city/explore/495.jpg,bhilwara,triveni,triveni chauraha is located 40 kilometres from the city of bhilwara and is the meeting point of menali river with badachh and banas rivers. along the coast is an ancient temple dedicated to lord shiva that remains submerged under water during monsoon.
63,http://tourism.rajasthan.gov.in/content/dam/rajasthan-tourism/english/city/explore/496.jpg,bhilwara,meja dam,the meja dam located 20 kilometres from bhilwara is one of the biggest dams in bhilwara and is famous for its lush green park. it is a famous tourist attraction and favoured picnic spot.
64,http://tourism.rajasthan.gov.in/content/dam/rajasthan-tourism/english/city/explore/497.jpg,bhilwara,bijolia,"bijolia is a census town in bhilwara, and is famous for the shree digambar jain parshwanath atishaya teerthkhshetra, the bijolia fort and the mandakini temple. located on the bundi &ndash; chittorgarh road, the fort also houses a shiva temple known as the hajaresvara mahadeva temple. renowned for its art and architecture, it is a popular tourist attraction. dedicated to teerthankar parshvanath, the shree digambar jain parshwanath atishaya teerthkhshetra is supposed to be over 2700 years"
65,http://tourism.rajasthan.gov.in/content/dam/rajasthan-tourism/english/city/explore/498.jpg,bhilwara,tilasvan mahadev,"located 15 km from bijolia, are four temples, the principal of which is dedicated to sarweshwar (shiva), which reportedly belongs to 10th or 11th century. the temple complex also houses a monastery, a kund or reservoir and a toran or triumphal arch."
66,http://tourism.rajasthan.gov.in/content/dam/rajasthan-tourism/english/city/explore/499.jpg,bhilwara,shahpura,"55 km from bhilwara is the town of shahpura. surrounded by a wall with four gates, it&rsquo;s a place of pilgrimage for the followers of ram sanehi sect founded amongst the hindu in 1804. the sect has a holy shrine known as ram dwara, the chief priest of rama dwara is the head of the sect. pilgrims from all over the country visit this shrine throughout the year. an annual fair known as phool dol ka mela is held here in phalgun shukla (march-april) for five days. there is a large palace complex in the northern part of shahpura, which is surmounted by balconies, towers and cupolas. it offers beautiful views of the lake and the town from its upper terraces. kesari singh, jorawar singh and pratap singh barahat were famous freedom fighters who belonged to shahpura. trimurti smarak, barahat ji ki haveli and pivaniya talab are other important attractions here. shahpura is also famous for the traditional art form of phad painting."
67,http://tourism.rajasthan.gov.in/content/dam/rajasthan-tourism/english/city/explore/500.jpg,bhilwara,jahazpur,"90 km from bhilwara lies jahazpur. travel to the south of this town and perched atop a hill, you will find a large fort consisting of two ramparts, one within the other, each having a deep ditch and numerous bastion. it is alleged that this is one of the many forts erected by rana kumbha to protect the frontiers of mewar. the village has a group of temples dedicated to shiva called the barah deora. the fort also houses a few temples among which the one dedicated to sarweshwar nathji is said to be quite old. jahazpur is well-known for an important jain temple that is dedicated to munisvuratnath. it also houses a a mosque, situated between the village and the fort, known as the gaibi pir, named after a muhammadan saint gaibi who is said to have resided here during the reign of emperor akbar."
68,http://tourism.rajasthan.gov.in/content/dam/rajasthan-tourism/english/city/explore/501.jpg,bhilwara,asind,"the town, known for its temples, is situated on the left bank of the river khari, built by sawai bhoj, the eldest son of bagh rao. during the princely rule, the town was an estate comprising seventy two villages, held by one of the first class nobles of the mewar state, who held the title of rawat and belonged to the chundawat sect of the sisodia rajput."
69,http://tourism.rajasthan.gov.in/content/dam/rajasthan-tourism/english/city/explore/502.jpg,bhilwara,mandalgarh,"located 54 km from bhilwara, this place possesses historical importance as it was the scene of many battles during the medieval times. it is also famous in history as being the campsite of the great mughal emperor akbar during the haldi ghati battle. a half-mile long fort stands guard with low rampart wall and bastions encircling the crest of the hill on which it stands. the fort is said to have been constructed by a chief of the balnote clan of rajputs. the fort houses two temples, one dedicated to lord shiva called jaleshwar and the other dedicated to krishna called bada mandir."
70,http://tourism.rajasthan.gov.in/content/dam/rajasthan-tourism/english/city/explore/503.jpg,bhilwara,gangaur,"the gangaur festival is celebrated in the month of april every year. gan indicates lord shiva and gauri is the divine consort of the lord, hence the festival of gangaur celebrates the divine bliss of goddess parvati. the women of bhilwara have a special role to play in the gangaur festival. celebrated for 18 whole days, the gangaur festival is a long, colourful procession. the girls of bhilwara get up early, bathe, wear festive outfits, adorn their palms with henna and join the festive procession which also sees dance performances."
